RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
102001,0,United States,country,,1253.4490611988388,1260.3137181944821,1269.5799762571569,1279.021194401418,1288.6449326814702,1296.8220479141626,1303.0210420123442,1306.817513887103,1308.9036637517565,1309.4510949688336,1309.8350876577424,1310.3032080592543,1313.605616078961,1318.9112313136284,1325.538519287554,1333.5958091775801,1342.0919947654766,1350.5929427971962,1355.692060481484,1357.9805603302957,1357.9492831354771,1356.3518749500117,1355.0532479716144,1354.1125999851017,1359.0129095862444,1367.1284176795116,1379.2784865238343,1389.3956751944538,1399.0918068274077,1406.4615563146365,1411.5656199306554,1413.2847787808798,1413.72004089487,1412.1973099553302,1412.080300260942,1413.0037295059697,1418.0472117702097,1425.7778795223462,1435.7722115971033,1445.7827472569156,1454.417815879325,1462.3076488772174,1467.9652085895875,1471.3797920166173,1470.9113865162503,1470.1537544819398,1470.8484443079076,1473.1599330764698,1477.7701149734423,1484.279160785089,1494.8020324022978,1505.2682103168663,1515.3942361537688,1523.7291616246134,1529.9896579157676,1533.3968490941768,1533.5142294417733,1532.2050098167188,1531.1308724676244,1532.29933642365,1537.677056672441,1546.3466942309637,1554.832920955596,1554.9474295988084,1553.2172077922721,1552.9389238176145,1558.1103756137725,1559.524715979062,1557.039294660734,1554.0552053725814,1552.9597695360587,1555.3900913676216,1562.4243313522545,1573.8906885306333,1589.5957695560496,1610.163739646328,1637.1873423324016,1668.4728672916417,1701.8562190790567,1732.9728768749846,1758.416857866845,1774.5700128353367,1785.3277146878902,1795.6380325748787,1807.0037210324726,1823.1883417915938,1839.9006300832505,1861.6068301263977,1883.5502898698887,1906.9578277051178,1926.659196955192,1938.9872603734213,1942.9710249566042,1939.755988758051,1934.0003125860808,1931.2882889841776,1933.225714706512,1939.7919931451204,1950.7515562711424,1961.8903643504084,1974.673561626727,1984.265275269768,1994.6879169858655,2001.769101152005,2005.7284335155223,2004.533106493709,2000.3533858198539,1997.3939641592835,1999.8959567093589,2007.5469449322336,2018.3606847283847,2030.2490590721136,2042.4637516423188,2053.692920207443
394913,1,"New York, NY",msa,NY,2419.800396661135,2435.54492911419,2454.626642614406,2476.5032689147047,2492.7898384315813,2510.303418986529,2521.1579541611895,2531.799899621884,2535.971605255203,2534.0258623381455,2524.959795867558,2515.1210239206694,2511.9031587526288,2515.8219931305944,2523.910438216461,2536.704649134862,2552.0061674420704,2567.5864151256023,2581.0727091916756,2585.3229018602206,2586.370821014605,2578.551599966825,2573.15340443558,2561.430036676792,2557.640047469229,2557.895624720744,2569.3211247144636,2584.393170651915,2604.0283228638414,2620.0156901672344,2631.611028266566,2633.8679624845463,2632.486977016486,2618.135375466531,2602.082911775435,2587.736149452923,2586.166377687067,2593.3340635645395,2606.430671967928,2626.7088088607957,2646.211639171076,2664.8838454930788,2677.6390767124003,2687.4936092913877,2688.0233825323276,2678.737258610445,2666.9958558173053,2656.0366613973506,2655.933126231848,2664.9367573900863,2681.2736621199806,2699.0690169994205,2720.7215189837134,2743.395883172634,2759.9484201054265,2767.71817250687,2765.8950695481153,2761.3795787992954,2748.580412327974,2740.408307088343,2739.3689102563003,2753.611156037816,2763.9935381618266,2757.195244216615,2738.420860092302,2714.0551333213803,2687.9972243008983,,,2538.004069979402,2504.128902645117,2489.9762686290014,2487.7706300207956,2501.58601487328,2524.603838373523,2554.7418025617544,2602.0247872809273,2660.098019524757,2725.925467442703,2789.1487276616526,2840.54847618917,2876.1692578971883,2899.4062792101076,2919.5190835453855,2943.724100333835,2978.388189495438,3020.250226548446,3065.348981726069,3120.6440435862532,3178.923753909519,3232.739016175861,3263.0520017404565,3266.8626357365606,3248.795337901938,3219.3767087352594,3199.2846035092525,3196.0754332691045,3210.0606768508933,3237.142165507483,3272.2386388011396,3311.8892389793727,3345.830240417798,3371.3479077726643,3381.816710838139,3381.7934728765263,3365.593175663681,3341.656749908717,3322.3331685314106,3325.328040130853,3343.128942611635,3376.0592128984313,3406.352569943992,3442.299155760254,3472.415449177508
753899,2,"Los Angeles, CA",msa,CA,1848.680006955656,1860.7837615787528,1877.2254008475882,1890.8424980718355,1906.330946428176,1918.214574296994,1932.898985219826,1942.740247931807,1952.5709765790498,1957.5436669251221,1962.7087902145524,1969.0335694530045,1978.7376906467978,1990.6198033969454,2003.070317345378,2012.0617500521257,2025.8413337043078,2038.6685271291522,2052.792149083921,2058.790519145485,2064.4902201766436,2066.0575274002995,2068.267863596679,2070.0116193596186,2083.736965228528,2100.786954422285,2122.9308808109563,2136.915803015965,2150.2611517461382,2158.916908699039,2168.8926548586883,2174.9027646520667,2180.8297179100914,2182.8735945435105,2188.034935721014,2191.9158517878204,2202.63889410279,2213.407057671657,2225.645107925241,2234.9696892435913,2243.8112293831045,2255.3114053106133,2265.491423133755,2274.5933751852654,2278.9682418072994,2283.2836482288744,2289.1537685524345,2295.13804378454,2301.0831086461712,2305.8264991239644,2317.900167085789,2328.2552388424306,2340.1048990300724,2348.467151157677,2357.1729120054733,2363.699846540283,2367.807093036352,2369.8017686387357,2372.8981319872405,2376.3470782973222,2383.9843269763883,2388.659154217242,2388.6987361643855,2375.6954933387783,2362.6368608771654,2354.9501434799677,2356.254243646191,2356.671698779728,2356.4155778227014,2357.4399887388154,2359.451150683908,2359.7024074858964,2367.0262811189014,2376.5617724276294,2391.378108460631,2403.7930370799945,2425.120696388646,2460.166117538539,2508.433526487502,2563.563059574805,2606.4173794373664,2633.618005267923,2649.7193935254104,2667.5743964108424,2687.04009948095,2712.395220022558,2738.823648908794,2769.884504839307,2797.5819736554868,2821.9551613638864,2843.4412318227987,2858.328293254819,2864.7541512138614,2860.7146401115947,2853.4152872702552,2847.116343011262,2845.1668583123715,2850.701428613246,2863.471054810064,2877.1647594603146,2887.5897748454913,2897.650239961907,2911.6827998157187,2925.8065139662185,2929.9666935016353,2927.456028838324,2913.000619683908,2903.9560112900845,2906.8856021049455,2918.7346704604856,2935.5699175051163,2945.721034184001,2961.320732481909,2975.213293230831
394463,3,"Chicago, IL",msa,IL,1460.2237479578662,1467.029720685818,1477.3609607235758,1487.142749250031,1498.0901855714285,1507.7827810867102,1512.5829550607762,1515.1613910136605,1510.585811812252,1503.0080976891475,1496.3246930085445,1496.111076822696,1504.0985918922238,1512.777051073462,1524.292295904681,1532.2093322089597,1541.5297588853014,1550.1051470026903,1556.8764648971896,1560.663025595785,1553.3945331650402,1542.9567927678172,1530.2769741754348,1524.0577925784187,1530.4066452784855,1545.0627736086392,1564.7650074201447,1578.807095224538,1591.0315555981304,1596.490319926495,1598.446918489779,1593.2845211972594,1587.3825005656715,1575.891308525893,1568.8424135130342,1566.3459044899876,1574.997031437972,1586.8211837839126,1600.5138016445633,1612.0949269992736,1622.3801843491037,1631.2211374032242,1635.5706381828572,1633.1809444001635,1622.8993911775644,1611.4748003875582,1604.6570782885863,1606.0866676925782,1615.0623155370065,1626.0706628666796,1641.3608096924531,1654.9074809193373,1666.9655293343537,1674.421245829168,1677.7125597654342,1677.633394351181,1672.6751363630628,1665.1752993011924,1658.090517463442,1653.0323751481367,1662.2248287092066,1674.19288616874,1689.7104003054415,1690.5553751707828,1688.883226201813,1684.73605515033,1683.466770722352,1677.2763330970445,1662.385788224663,1640.695692372263,1621.9479827850462,1613.4979290495824,1614.889504086906,1626.2214134385483,1643.7364003372852,1670.7671902606735,1698.705323999051,1725.688691812685,1746.171080064866,1760.350466338754,1768.2010078756714,1768.8091911998868,1768.9090142365503,1774.0450829490394,1786.7763445938042,1803.2559856905157,1823.7366030026124,1847.6794939944643,1873.953009003432,1895.5159321108035,1913.7384135751272,1922.4803721253668,1924.306169327303,1921.6401345390943,1916.5462744702636,1917.9112780634068,1925.0436346571025,1939.9239952685928,1957.5133653067817,1975.5377052985518,1997.9479387183742,2017.1749378728848,2029.8888032276473,2036.7318971582672,2035.4752602887008,2028.8441719580762,2021.4585980657214,2023.773775051828,2032.7463600890649,2046.25488208466,2059.1886842747945,2080.211094817333,2099.8454872221614,2118.487003327297
394514,4,"Dallas, TX",msa,TX,1138.2559886664123,1144.206978097464,1152.548663920333,1164.7998163170748,1174.9345045977814,1183.1338946836236,1189.81761576754,1193.4646417674353,1195.322529631425,1195.2166083892205,1196.4003646462918,1198.2930041295679,1200.1421909509465,1205.7895177911469,1214.5560005106665,1225.781776025685,1234.7823656539897,1242.112960555846,1247.1864465513886,1250.52657220985,1250.4251716871865,1251.0073861221317,1251.4198279500608,1252.2167742115082,1257.0586451895829,1263.0680856367965,1276.6836961487813,1286.4083274996337,1299.2687496774981,1305.3803600813721,1310.592479212973,1312.0019938866565,1311.4261607821156,1309.2598234479935,1310.309762089098,1310.2341326790586,1315.152944372378,1321.337172217093,1329.4853766178474,1336.9924261841868,1342.281835890945,1350.9530138924465,1355.3225566248082,1357.9898616693715,1355.0471721068784,1356.9130428517865,1357.3960804866167,1359.8466704764537,1362.3473451088394,1367.0689079919446,1378.5825881975427,1388.1357442000376,1397.3004414073625,1404.2124852418813,1408.5139325861574,1411.4309112296744,1411.2685777792456,1410.2933024379745,1407.2517074913044,1403.1342679712748,1405.3375331540326,1412.1480072639679,1420.2844886510245,1420.4341170242399,1419.0119367793739,1419.8123647425027,1424.3031590305586,1429.0226182958663,1431.2729595452558,1434.4867517536507,1436.0163803640537,1439.9092866955111,1444.600431364357,1454.0598259829947,1465.0005705842034,1485.3298676571749,1512.110484717393,1547.5145672521573,1583.659835293149,1616.743025605785,1642.1847144994686,1657.750544563325,1670.8965800360418,1680.772470729999,1692.0635485964183,1703.9256517331487,1717.092587229781,1737.9007835679008,1761.7720047777598,1793.0290142050992,1814.6392848010219,1824.3328137649821,1820.8823284028647,1808.8415716849836,1799.0100049271177,1788.9643989969645,1788.5728095615225,1790.6070102358703,1800.214251347415,1804.8197496370753,1812.805517049829,1818.7779081210206,1828.0697576585906,1831.2155675818321,1829.2535850533432,1821.7758569501643,1815.1487198793614,1806.4777350734819,1801.7783374945868,1797.7111171617876,1801.383652031756,1806.7463174303323,1815.2774335786894,1822.2881502456773
394692,5,"Houston, TX",msa,TX,1259.2736411518244,1263.058052586803,1269.7658477810617,1280.9837459634225,1290.915303918439,1299.3159265393485,1301.420468519491,1302.3352285304215,1299.099246999495,1295.0651893567601,1291.493213060363,1289.5287021608488,1290.6909859476073,1292.808911250657,1298.9403676703546,1302.78526019085,1306.0251856551586,1306.6118244422137,1306.7843755210645,1304.255868951758,1299.2762314181268,1294.7421772386313,1289.0658637213362,1286.6263911185354,1287.546051913032,1296.06334345508,1304.5728338652846,1309.830374330356,1317.2827210531136,1319.179530834644,1320.2268889057232,1314.925797689117,1321.898548717811,1330.410231529332,1341.6603675037006,1347.121433947292,1350.1648704524205,1356.0073945486376,1357.6023763349529,1364.6943297528017,1367.3442958746132,1373.4888504472694,1373.170886946523,1371.6497663618088,1367.1213204125168,1368.1423241082402,1370.5170773863922,1371.158735978422,1371.8968278593097,1370.922683235644,1377.7231841071603,1382.6850888757679,1391.5896812343767,1397.4507742547335,1401.444670581905,1400.8841341993689,1398.3110657293234,1397.4982062791732,1397.364001388103,1400.4838701934384,1403.3123960389014,1410.2946754983288,1415.5331692058926,1411.9438282280673,1404.3987398750533,1398.2708967988196,1402.545930619228,1407.8180529886704,1409.3784288124518,1411.6568479256869,1413.2577232488816,1414.003031057625,1415.705527870216,1416.0822813221187,1423.7513576209476,1436.3085046095,1458.1996960453139,1486.4337563420863,1512.9980681559332,1537.8801059181897,1552.089963074098,1560.3969755612552,1564.8721135162166,1568.9032646510786,1575.320926606454,1585.439706707485,1596.637116414689,1610.0463445768435,1622.1513344997916,1637.780600449004,1650.637956216464,1658.414710198111,1656.847187208592,1652.136051792519,1647.1931963850398,1645.6839086397827,1649.9402594137537,1657.011444931117,1668.5213584062249,1674.9036127388024,1685.1471179984153,1692.9638144369176,1700.2118387036658,1701.719567567675,1699.3237210898858,1695.5936283055894,1691.1732431051562,1690.516710115557,1692.0447020841539,1696.352600502307,1700.5019446517836,1709.371362299208,1719.8707801783978,1730.042806582748
395209,6,"Washington, DC",msa,VA,1778.3648275792857,1784.295919375891,1796.5891365033212,1805.1856550692914,1815.993239585664,1823.1038233991665,1827.0265503972867,1824.4418784826735,1823.1460911504485,1818.7672478139077,1818.3070500501979,1814.427151781516,1817.8346533117337,1821.3632423106267,1829.0308402735352,1836.8928691024714,1846.3667271208035,1854.2529185429214,1858.294396114351,1859.0103966756599,1855.0326147002663,1849.0983377771806,1844.1459027922992,1840.506400975742,1846.1340738963663,1858.1733740187922,1872.7257005091644,1884.2047659451148,1890.2709218132527,1897.8644330636416,1900.7716795440595,1900.2069769969141,1898.202955017875,1892.7248440075252,1887.2068552545743,1882.8409435955484,1886.0670381208436,1892.5902095177298,1904.8646297075968,1917.3494198009926,1929.0722325057873,1938.0788907657907,1943.5066378004917,1948.016809612126,1943.4423928724968,1940.4751738621653,1941.0756805462718,1945.7187241872043,1950.7500395004704,1956.6370247350253,1966.536157827889,1977.976759623385,1989.7262978854435,1999.5587511542747,2005.5153075577944,2007.1309300642745,2006.7322932902382,2001.0278302098673,1994.9603322945834,1995.254784195203,2003.6202455874202,2013.0655701504384,2022.5485354971393,2020.9635993586232,2017.8721597180613,2011.0363342156147,2009.4524924453353,2004.8499311628616,1990.9092897172707,1972.9434734307254,1951.7079208620019,1940.4963745396876,1941.8052951848413,1950.0303313899947,1960.1952689589311,1976.0463161693385,2005.4308107705458,2044.935899521564,2084.1342567811816,2116.618389890552,2137.243486320641,2148.1578094989286,2148.751056683528,2148.4000815966706,2149.705323101434,2160.4911266090867,2178.772875107475,2203.342686268904,2230.3157718174352,2258.07395171818,2283.0191676317336,2296.364377499914,2297.578085364474,2284.2031078199752,2269.698825364672,2256.4763713054153,2255.565650794533,2264.670339957921,2283.0367027978946,2301.1707604523453,2321.6131526467507,2339.0678060651876,2355.821826738424,2366.6678121819677,2372.8978555559297,2372.5188721707896,2368.5120797099225,2361.023780861899,2362.2962452266424,2373.6425257525893,2394.9912955674317,2415.543800652036,2434.9962262183685,2455.084340294347
394974,7,"Philadelphia, PA",msa,PA,1282.204514615688,1288.299611399316,1300.6480782369672,1308.172064108999,1314.5498685848238,1317.648430775611,1319.2402913735812,1320.0319484624804,1318.6216286094323,1318.0063669102437,1314.0150558665014,1310.6477055570717,1311.5132555149273,1320.674748042825,1330.4242123921565,1340.3781817644267,1346.2078362058928,1353.850108116758,1354.8237254501141,1354.4335666966592,1351.2920139485602,1348.531900397705,1350.324290978809,1349.988597054561,1355.5971757367286,1361.8918147369063,1374.1556879963373,1383.164942755753,1389.2050340673707,1390.6524530593276,1390.8721365379035,1391.3629967602617,1390.53226192931,1389.9809836226718,1388.3596840865357,1390.7893703543891,1394.2025563196999,1401.9677907512855,1413.1349718509516,1423.4440545378104,1432.738991513784,1436.9527096833579,1437.8226644577755,1436.7891808564955,1435.215082059982,1436.6159553006282,1440.2041260308529,1439.3499547002573,1443.869132862764,1450.6530487856146,1465.3800221901665,1476.447108565849,1483.7066662067045,1491.811374366936,1496.0353732134076,1495.879303767535,1491.8513061804092,1490.1223146116627,1490.9706272895592,1494.1322822416548,1497.5445832258351,1508.130046139841,1518.2791253184273,1521.6873060220316,1520.9340433443929,1521.1525645420265,1527.391239915084,1527.2764029383109,1526.5767461625567,1526.234560491122,1528.8760436280866,1532.1627005898606,1535.8954322442426,1541.6572983224282,1550.0220699097044,1565.9955956038282,1588.414214814804,1610.4983340149713,1630.6471952011243,1648.7131525301093,1658.0770915782166,1668.6701776807652,1677.1568109723635,1694.6304357630702,1704.4665497071344,1716.1962577593897,1726.3774369302405,1741.395436528154,1756.3324005088882,1772.208587383553,1785.3098502361806,1791.6935646864324,1793.820826295912,1789.8804979759166,1788.3202962476983,1786.1300306099247,1789.6550035720516,1791.5852977561653,1799.8040953533418,1807.895520706209,1819.7993005581184,1825.326435109705,1833.4801233418639,1841.6724006499785,1854.9586281652355,1862.5527434138971,1864.7464355774312,1859.4860152365018,1857.9517541194273,1863.2014934285107,1871.93642838171,1880.7011194565332,1888.157141880251,1898.1226217085448
394856,8,"Miami, FL",msa,FL,1541.955930645104,1548.5968268655217,1554.4961578897933,1561.504775914493,1570.5607700570715,1579.6996306934777,1589.7157257976994,1597.4312440523224,1608.920659219158,1617.1765466476202,1626.3647077811675,1629.1587724798624,1633.3156172588663,1635.3178146131509,1638.9209484789192,1639.388708484324,1639.6544959466003,1639.2574755713274,1641.8737109015228,1644.4349338911186,1649.9302549661102,1652.9179878976652,1657.1964168780958,1657.015641425402,1662.1439952297223,1665.755936828272,1673.6257440723402,1675.8599189293914,1678.2259938150305,1681.699122132178,1687.953239563837,1695.759027251399,1702.57624112965,1707.7947813961914,1709.746298448143,1710.4151974188874,1712.780312178963,1715.6988428371992,1720.053558148784,1724.0163361301736,1728.2698194954426,1733.8427845175306,1740.5542117432312,1747.6250371606814,1752.8465887739508,1759.036218394884,1765.9405578917292,1771.83838145166,1771.9347066270861,1771.103469622799,1772.1704203467575,1775.9685341417962,1780.8342938077192,1785.0587299788378,1790.2116881246168,1795.1131239531592,1801.9469014195377,1811.8195629533348,1821.9871117553635,1829.0717129119766,1831.2537564873064,1834.8316935734015,1835.6458111334628,1829.4567081087694,1819.3810907280288,1817.6331330373425,1822.6207932418242,1828.6071264342015,1834.040300487297,1848.1428669571005,1868.1780268557031,1885.6574339372628,1901.334835491146,1923.8011632520252,1952.4541090700818,1988.1904563390272,2029.364222873711,,,2219.4841309022054,2282.382934936842,2332.4032793200654,2380.1721549757963,2429.004858590968,2471.6059870193963,2508.2644322711676,2548.0239140089143,2589.06166705033,2629.054476797713,2657.1746144844215,2679.1748506335402,2690.4351246113274,2700.3814854526436,2706.249658356961,2714.9754652993633,2720.4839874972627,2719.3360238013797,2719.369877179453,2721.723706171972,2729.207432802329,2738.212701801465,2747.355222953406,2755.9093945417153,2763.9379364614756,2773.420166480405,2786.1897480029306,2793.1016102222366,2787.690996724987,2782.6704605171967,2786.726922393984,2796.143902924294,2805.8090264072725,2807.4892340881993,2812.7914596821247
394347,9,"Atlanta, GA",msa,GA,1067.1824167703744,1073.331111154609,1077.2737873009883,1087.9178311646237,1095.7465444344532,1107.446183415733,1114.3555079774706,1118.0849785763,1119.1621388184751,1119.1820165485506,1119.9645466846594,1123.313935631553,1127.4243188743344,1135.0423342865183,1143.2166603202177,1151.1454533998142,1160.0594381645408,1168.8883806135145,1178.0873472354526,1182.5964138870988,1182.8752845359643,1183.2611508790465,1183.074426538725,1185.1056077468938,1189.4487721409191,1198.9273577399945,1211.0187111473003,1223.3087591778897,1235.4218641790023,1246.270901155719,1255.1466793320396,1259.110132770763,1261.6126059267974,1259.0234407358012,1260.4454479682886,1262.010743890419,1269.7810118482737,1278.8999261218078,1290.8371094371225,1303.019513380481,1314.5292857052234,1323.1783688702012,1329.0947602336012,1331.9362006827785,1333.144282006884,1338.5035451988988,1343.8261420894898,1348.9659048039055,1354.8703139171234,1362.9935315569426,1375.996409446795,1387.3975660852916,1397.635733867309,1406.4199946195965,1411.6296523192866,1416.4807681505765,1418.9535515772332,1418.412420581525,1415.6824633947515,1415.1907057856602,1419.8762114952224,1429.0975207073247,1437.633265853513,1440.4805428201166,1443.0374449061446,1449.8763396162035,1465.475890455017,1479.1176482463243,1489.6425723225716,1496.5899381342992,1502.976029099564,1508.6192996467255,1520.1358308249667,1537.0766305931509,1557.0245167084117,1581.1424207254604,1611.1926705241299,1652.092200224199,1696.2678626421105,1741.3294123556775,1773.6544292544477,1794.2980325447152,1802.0950828478792,1806.60500467407,1811.471936620252,1818.676838897779,1831.2479106576216,1844.2666095327381,1863.3448597879062,1885.907226812903,1911.4075850739628,1926.5246218034401,1930.8184881811817,1922.805725480495,1912.7908312160475,1907.96977870684,1906.7262863734272,1912.63397425286,1920.797940448686,1928.1911308794927,1933.2692444921117,1932.7715214464795,1936.7047528592848,1938.6236408872664,1940.2201019491183,1931.3871050913892,1918.6182720765776,1909.6225068297936,1913.255448738518,1924.2683247541897,1930.5407157873872,1936.408701643253,1942.6374178586043,1950.56624872595
