RegionID,Date,Rental Value
753899,3/31/2020,2388.698736
753899,4/30/2020,2375.695493
753899,5/31/2020,2362.636861
753899,6/30/2020,2354.950143
753899,7/31/2020,2356.254244
753899,8/31/2020,2356.671699
753899,9/30/2020,2356.415578
753899,10/31/2020,2357.439989
753899,11/30/2020,2359.451151
753899,12/31/2020,2359.702407
753899,1/31/2021,2367.026281
753899,2/28/2021,2376.561772
753899,3/31/2021,2391.378108
753899,4/30/2021,2403.793037
753899,5/31/2021,2425.120696
753899,6/30/2021,2460.166118
753899,7/31/2021,2508.433526
753899,8/31/2021,2563.56306
753899,9/30/2021,2606.417379
753899,10/31/2021,2633.618005
753899,11/30/2021,2649.719394
753899,12/31/2021,2667.574396
753899,1/31/2022,2687.040099
753899,2/28/2022,2712.39522
753899,3/31/2022,2738.823649
753899,4/30/2022,2769.884505
753899,5/31/2022,2797.581974
753899,6/30/2022,2821.955161
753899,7/31/2022,2843.441232
753899,8/31/2022,2858.328293
753899,9/30/2022,2864.754151
753899,10/31/2022,2860.71464
753899,11/30/2022,2853.415287
753899,12/31/2022,2847.116343
753899,1/31/2023,2845.166858
753899,2/28/2023,2850.701429
753899,3/31/2023,2863.471055
753899,4/30/2023,2877.164759
753899,5/31/2023,2887.589775
753899,6/30/2023,2897.65024
753899,7/31/2023,2911.6828
753899,8/31/2023,2925.806514
753899,9/30/2023,2929.966694
753899,10/31/2023,2927.456029
753899,11/30/2023,2913.00062
753899,12/31/2023,2903.956011
753899,1/31/2024,2906.885602
753899,2/29/2024,2918.73467
753899,3/31/2024,2935.569918
753899,4/30/2024,2945.721034
753899,5/31/2024,2961.320732
753899,6/30/2024,2975.213293
394463,1/31/2015,1460.223748
394463,2/28/2015,1467.029721
394463,3/31/2015,1477.360961
394463,4/30/2015,1487.142749
394463,5/31/2015,1498.090186
394463,6/30/2015,1507.782781
394463,7/31/2015,1512.582955
394463,8/31/2015,1515.161391
394463,9/30/2015,1510.585812
394463,10/31/2015,1503.008098
394463,11/30/2015,1496.324693
394463,12/31/2015,1496.111077
394463,1/31/2016,1504.098592
394463,2/29/2016,1512.777051
394463,3/31/2016,1524.292296
394463,4/30/2016,1532.209332
394463,5/31/2016,1541.529759
394463,6/30/2016,1550.105147
394463,7/31/2016,1556.876465
394463,8/31/2016,1560.663026
394463,9/30/2016,1553.394533
394463,10/31/2016,1542.956793
394463,11/30/2016,1530.276974
394463,12/31/2016,1524.057793
394463,1/31/2017,1530.406645
394463,2/28/2017,1545.062774
394463,3/31/2017,1564.765007
394463,4/30/2017,1578.807095
394463,5/31/2017,1591.031556
394463,6/30/2017,1596.49032
394463,7/31/2017,1598.446918
394463,8/31/2017,1593.284521
394463,9/30/2017,1587.382501
394463,10/31/2017,1575.891309
394463,11/30/2017,1568.842414
394463,12/31/2017,1566.345904
394463,1/31/2018,1574.997031
394463,2/28/2018,1586.821184
394463,3/31/2018,1600.513802
394463,4/30/2018,1612.094927
394463,5/31/2018,1622.380184
394463,6/30/2018,1631.221137
394463,7/31/2018,1635.570638
394463,8/31/2018,1633.180944
394463,9/30/2018,1622.899391
394463,10/31/2018,1611.4748
394463,11/30/2018,1604.657078
394463,12/31/2018,1606.086668
394463,1/31/2019,1615.062316
394463,2/28/2019,1626.070663
394463,3/31/2019,1641.36081
394463,4/30/2019,1654.907481
394463,5/31/2019,1666.965529
394463,6/30/2019,1674.421246
394463,7/31/2019,1677.71256
394463,8/31/2019,1677.633394
394463,9/30/2019,1672.675136
394463,10/31/2019,1665.175299
394463,11/30/2019,1658.090517
394463,12/31/2019,1653.032375
394463,1/31/2020,1662.224829
394463,2/29/2020,1674.192886
394463,3/31/2020,1689.7104
394463,4/30/2020,1690.555375
394463,5/31/2020,1688.883226
394463,6/30/2020,1684.736055
394463,7/31/2020,1683.466771
394463,8/31/2020,1677.276333
394463,9/30/2020,1662.385788
394463,10/31/2020,1640.695692
394463,11/30/2020,1621.947983
394463,12/31/2020,1613.497929
394463,1/31/2021,1614.889504
394463,2/28/2021,1626.221413
394463,3/31/2021,1643.7364
394463,4/30/2021,1670.76719
394463,5/31/2021,1698.705324
394463,6/30/2021,1725.688692
394463,7/31/2021,1746.17108
394463,8/31/2021,1760.350466
394463,9/30/2021,1768.201008
394463,10/31/2021,1768.809191
394463,11/30/2021,1768.909014
394463,12/31/2021,1774.045083
394463,1/31/2022,1786.776345
394463,2/28/2022,1803.255986
394463,3/31/2022,1823.736603
394463,4/30/2022,1847.679494
394463,5/31/2022,1873.953009
394463,6/30/2022,1895.515932
394463,7/31/2022,1913.738414
394463,8/31/2022,1922.480372
394463,9/30/2022,1924.306169
394463,10/31/2022,1921.640135
394463,11/30/2022,1916.546274
394463,12/31/2022,1917.911278
394463,1/31/2023,1925.043635
394463,2/28/2023,1939.923995
394463,3/31/2023,1957.513365
394463,4/30/2023,1975.537705
394463,5/31/2023,1997.947939
394463,6/30/2023,2017.174938
394463,7/31/2023,2029.888803
394463,8/31/2023,2036.731897
394463,9/30/2023,2035.47526
394463,10/31/2023,2028.844172
394463,11/30/2023,2021.458598
394463,12/31/2023,2023.773775
394463,1/31/2024,2032.74636
394463,2/29/2024,2046.254882
394463,3/31/2024,2059.188684
394463,4/30/2024,2080.211095
394463,5/31/2024,2099.845487
394463,6/30/2024,2118.487003
394514,1/31/2015,1138.255989
394514,2/28/2015,1144.206978
394514,3/31/2015,1152.548664
394514,4/30/2015,1164.799816
394514,5/31/2015,1174.934505
394514,6/30/2015,1183.133895
394514,7/31/2015,1189.817616
394514,8/31/2015,1193.464642
394514,9/30/2015,1195.32253
394514,10/31/2015,1195.216608
394514,11/30/2015,1196.400365
394514,12/31/2015,1198.293004
394514,1/31/2016,1200.142191
394514,2/29/2016,1205.789518
394514,3/31/2016,1214.556001
394514,4/30/2016,1225.781776
394514,5/31/2016,1234.782366
394514,6/30/2016,1242.112961
394514,7/31/2016,1247.186447
394514,8/31/2016,1250.526572
394514,9/30/2016,1250.425172
394514,10/31/2016,1251.007386
394514,11/30/2016,1251.419828
394514,12/31/2016,1252.216774
394514,1/31/2017,1257.058645
394514,2/28/2017,1263.068086
394514,3/31/2017,1276.683696
394514,4/30/2017,1286.408327
394514,5/31/2017,1299.26875
394514,6/30/2017,1305.38036
394514,7/31/2017,1310.592479
394514,8/31/2017,1312.001994
394514,9/30/2017,1311.426161
394514,10/31/2017,1309.259823
394514,11/30/2017,1310.309762
394514,12/31/2017,1310.234133
394514,1/31/2018,1315.152944
394514,2/28/2018,1321.337172
394514,3/31/2018,1329.485377
394514,4/30/2018,1336.992426
394514,5/31/2018,1342.281836
394514,6/30/2018,1350.953014
394514,7/31/2018,1355.322557
394514,8/31/2018,1357.989862
394514,9/30/2018,1355.047172
394514,10/31/2018,1356.913043
394514,11/30/2018,1357.39608
394514,12/31/2018,1359.84667
394514,1/31/2019,1362.347345
394514,2/28/2019,1367.068908
394514,3/31/2019,1378.582588
394514,4/30/2019,1388.135744
394514,5/31/2019,1397.300441
394514,6/30/2019,1404.212485
394514,7/31/2019,1408.513933
394514,8/31/2019,1411.430911
394514,9/30/2019,1411.268578
394514,10/31/2019,1410.293302
394514,11/30/2019,1407.251707
394514,12/31/2019,1403.134268
394514,1/31/2020,1405.337533
394514,2/29/2020,1412.148007
394514,3/31/2020,1420.284489
394514,4/30/2020,1420.434117
394514,5/31/2020,1419.011937
394514,6/30/2020,1419.812365
394514,7/31/2020,1424.303159
394514,8/31/2020,1429.022618
394514,9/30/2020,1431.27296
394514,10/31/2020,1434.486752
394514,11/30/2020,1436.01638
394514,12/31/2020,1439.909287
394514,1/31/2021,1444.600431
394514,2/28/2021,1454.059826
394514,3/31/2021,1465.000571
394514,4/30/2021,1485.329868
394514,5/31/2021,1512.110485
394514,6/30/2021,1547.514567
394514,7/31/2021,1583.659835
394514,8/31/2021,1616.743026
394514,9/30/2021,1642.184714
394514,10/31/2021,1657.750545
394514,11/30/2021,1670.89658
394514,12/31/2021,1680.772471
394514,1/31/2022,1692.063549
394514,2/28/2022,1703.925652
394514,3/31/2022,1717.092587
394514,4/30/2022,1737.900784
394514,5/31/2022,1761.772005
394514,6/30/2022,1793.029014
394514,7/31/2022,1814.639285
394514,8/31/2022,1824.332814
394514,9/30/2022,1820.882328
394514,10/31/2022,1808.841572
394514,11/30/2022,1799.010005
394514,12/31/2022,1788.964399
394514,1/31/2023,1788.57281
394514,2/28/2023,1790.60701
394514,3/31/2023,1800.214251
394514,4/30/2023,1804.81975
394514,5/31/2023,1812.805517
394514,6/30/2023,1818.777908
394514,7/31/2023,1828.069758
394514,8/31/2023,1831.215568
394514,9/30/2023,1829.253585
394514,10/31/2023,1821.775857
394514,11/30/2023,1815.14872
394514,12/31/2023,1806.477735
394514,1/31/2024,1801.778337
394514,2/29/2024,1797.711117
394514,3/31/2024,1801.383652
394514,4/30/2024,1806.746317
394514,5/31/2024,1815.277434
394514,6/30/2024,1822.28815
394692,1/31/2015,1259.273641
394692,2/28/2015,1263.058053
394692,3/31/2015,1269.765848
394692,4/30/2015,1280.983746
394692,5/31/2015,1290.915304
394692,6/30/2015,1299.315927
394692,7/31/2015,1301.420469
394692,8/31/2015,1302.335229
394692,9/30/2015,1299.099247
394692,10/31/2015,1295.065189
394692,11/30/2015,1291.493213
394692,12/31/2015,1289.528702
394692,1/31/2016,1290.690986
394692,2/29/2016,1292.808911
394692,3/31/2016,1298.940368
394692,4/30/2016,1302.78526
394692,5/31/2016,1306.025186
394692,6/30/2016,1306.611824
394692,7/31/2016,1306.784376
394692,8/31/2016,1304.255869
394692,9/30/2016,1299.276231
394692,10/31/2016,1294.742177
394692,11/30/2016,1289.065864
394692,12/31/2016,1286.626391
394692,1/31/2017,1287.546052
394692,2/28/2017,1296.063343
394692,3/31/2017,1304.572834
394692,4/30/2017,1309.830374
394692,5/31/2017,1317.282721
394692,6/30/2017,1319.179531
394692,7/31/2017,1320.226889
394692,8/31/2017,1314.925798
394692,9/30/2017,1321.898549
394692,10/31/2017,1330.410232
394692,11/30/2017,1341.660368
394692,12/31/2017,1347.121434
394692,1/31/2018,1350.16487
394692,2/28/2018,1356.007395
394692,3/31/2018,1357.602376
394692,4/30/2018,1364.69433
394692,5/31/2018,1367.344296
394692,6/30/2018,1373.48885
394692,7/31/2018,1373.170887
394692,8/31/2018,1371.649766
394692,9/30/2018,1367.12132
394692,10/31/2018,1368.142324
394692,11/30/2018,1370.517077
394692,12/31/2018,1371.158736
394692,1/31/2019,1371.896828
394692,2/28/2019,1370.922683
394692,3/31/2019,1377.723184
394692,4/30/2019,1382.685089
394692,5/31/2019,1391.589681
394692,6/30/2019,1397.450774
394692,7/31/2019,1401.444671
394692,8/31/2019,1400.884134
394692,9/30/2019,1398.311066
394692,10/31/2019,1397.498206
394692,11/30/2019,1397.364001
394692,12/31/2019,1400.48387
394692,1/31/2020,1403.312396
394692,2/29/2020,1410.294675
394692,3/31/2020,1415.533169
394692,4/30/2020,1411.943828
394692,5/31/2020,1404.39874
394692,6/30/2020,1398.270897
394692,7/31/2020,1402.545931
394692,8/31/2020,1407.818053
394692,9/30/2020,1409.378429
394692,10/31/2020,1411.656848
394692,11/30/2020,1413.257723
394692,12/31/2020,1414.003031
394692,1/31/2021,1415.705528
394692,2/28/2021,1416.082281
394692,3/31/2021,1423.751358
394692,4/30/2021,1436.308505
394692,5/31/2021,1458.199696
394692,6/30/2021,1486.433756
394692,7/31/2021,1512.998068
394692,8/31/2021,1537.880106
394692,9/30/2021,1552.089963
394692,10/31/2021,1560.396976
394692,11/30/2021,1564.872114
394692,12/31/2021,1568.903265
394692,1/31/2022,1575.320927
394692,2/28/2022,1585.439707
394692,3/31/2022,1596.637116
394692,4/30/2022,1610.046345
394692,5/31/2022,1622.151334
394692,6/30/2022,1637.7806
394692,7/31/2022,1650.637956
394692,8/31/2022,1658.41471
394692,9/30/2022,1656.847187
394692,10/31/2022,1652.136052
394692,11/30/2022,1647.193196
394692,12/31/2022,1645.683909
394692,1/31/2023,1649.940259
394692,2/28/2023,1657.011445
394692,3/31/2023,1668.521358
394692,4/30/2023,1674.903613
394692,5/31/2023,1685.147118
394692,6/30/2023,1692.963814
394692,7/31/2023,1700.211839
394692,8/31/2023,1701.719568
394692,9/30/2023,1699.323721
394692,10/31/2023,1695.593628
394692,11/30/2023,1691.173243
394692,12/31/2023,1690.51671
394692,1/31/2024,1692.044702
394692,2/29/2024,1696.352601
394692,3/31/2024,1700.501945
394692,4/30/2024,1709.371362
394692,5/31/2024,1719.87078
394692,6/30/2024,1730.042807
395209,1/31/2015,1778.364828
395209,2/28/2015,1784.295919
395209,3/31/2015,1796.589137
395209,4/30/2015,1805.185655
395209,5/31/2015,1815.99324
395209,6/30/2015,1823.103823
395209,7/31/2015,1827.02655
395209,8/31/2015,1824.441878
395209,9/30/2015,1823.146091
395209,10/31/2015,1818.767248
395209,11/30/2015,1818.30705
395209,12/31/2015,1814.427152
395209,1/31/2016,1817.834653
395209,2/29/2016,1821.363242
395209,3/31/2016,1829.03084
395209,4/30/2016,1836.892869
395209,5/31/2016,1846.366727
395209,6/30/2016,1854.252919
395209,7/31/2016,1858.294396
395209,8/31/2016,1859.010397
395209,9/30/2016,1855.032615
395209,10/31/2016,1849.098338
395209,11/30/2016,1844.145903
395209,12/31/2016,1840.506401
395209,1/31/2017,1846.134074
395209,2/28/2017,1858.173374
395209,3/31/2017,1872.725701
395209,4/30/2017,1884.204766
395209,5/31/2017,1890.270922
395209,6/30/2017,1897.864433
395209,7/31/2017,1900.77168
395209,8/31/2017,1900.206977
395209,9/30/2017,1898.202955
395209,10/31/2017,1892.724844
395209,11/30/2017,1887.206855
395209,12/31/2017,1882.840944
395209,1/31/2018,1886.067038
395209,2/28/2018,1892.59021
395209,3/31/2018,1904.86463
395209,4/30/2018,1917.34942
395209,5/31/2018,1929.072233
395209,6/30/2018,1938.078891
395209,7/31/2018,1943.506638
395209,8/31/2018,1948.01681
395209,9/30/2018,1943.442393
395209,10/31/2018,1940.475174
395209,11/30/2018,1941.075681
395209,12/31/2018,1945.718724
395209,1/31/2019,1950.75004
395209,2/28/2019,1956.637025
395209,3/31/2019,1966.536158
395209,4/30/2019,1977.97676
395209,5/31/2019,1989.726298
395209,6/30/2019,1999.558751
395209,7/31/2019,2005.515308
395209,8/31/2019,2007.13093
395209,9/30/2019,2006.732293
395209,10/31/2019,2001.02783
395209,11/30/2019,1994.960332
395209,12/31/2019,1995.254784
395209,1/31/2020,2003.620246
395209,2/29/2020,2013.06557
395209,3/31/2020,2022.548535
395209,4/30/2020,2020.963599
395209,5/31/2020,2017.87216
395209,6/30/2020,2011.036334
395209,7/31/2020,2009.452492
395209,8/31/2020,2004.849931
395209,9/30/2020,1990.90929
395209,10/31/2020,1972.943473
395209,11/30/2020,1951.707921
395209,12/31/2020,1940.496375
395209,1/31/2021,1941.805295
395209,2/28/2021,1950.030331
395209,3/31/2021,1960.195269
395209,4/30/2021,1976.046316
395209,5/31/2021,2005.430811
395209,6/30/2021,2044.9359
395209,7/31/2021,2084.134257
395209,8/31/2021,2116.61839
395209,9/30/2021,2137.243486
395209,10/31/2021,2148.157809
395209,11/30/2021,2148.751057
395209,12/31/2021,2148.400082
395209,1/31/2022,2149.705323
395209,2/28/2022,2160.491127
395209,3/31/2022,2178.772875
395209,4/30/2022,2203.342686
395209,5/31/2022,2230.315772
395209,6/30/2022,2258.073952
395209,7/31/2022,2283.019168
395209,8/31/2022,2296.364377
395209,9/30/2022,2297.578085
395209,10/31/2022,2284.203108
395209,11/30/2022,2269.698825
395209,12/31/2022,2256.476371
395209,1/31/2023,2255.565651
395209,2/28/2023,2264.67034
395209,3/31/2023,2283.036703
395209,4/30/2023,2301.17076
395209,5/31/2023,2321.613153
395209,6/30/2023,2339.067806
395209,7/31/2023,2355.821827
395209,8/31/2023,2366.667812
395209,9/30/2023,2372.897856
395209,10/31/2023,2372.518872
395209,11/30/2023,2368.51208
395209,12/31/2023,2361.023781
395209,1/31/2024,2362.296245
395209,2/29/2024,2373.642526
395209,3/31/2024,2394.991296
395209,4/30/2024,2415.543801
395209,5/31/2024,2434.996226
395209,6/30/2024,2455.08434
394974,1/31/2015,1282.204515
394974,2/28/2015,1288.299611
394974,3/31/2015,1300.648078
394974,4/30/2015,1308.172064
394974,5/31/2015,1314.549869
394974,6/30/2015,1317.648431
394974,7/31/2015,1319.240291
394974,8/31/2015,1320.031948
394974,9/30/2015,1318.621629
394974,10/31/2015,1318.006367
394974,11/30/2015,1314.015056
394974,12/31/2015,1310.647706
394974,1/31/2016,1311.513256
394974,2/29/2016,1320.674748
394974,3/31/2016,1330.424212
394974,4/30/2016,1340.378182
394974,5/31/2016,1346.207836
394974,6/30/2016,1353.850108
394974,7/31/2016,1354.823725
394974,8/31/2016,1354.433567
394974,9/30/2016,1351.292014
394974,10/31/2016,1348.5319
394974,11/30/2016,1350.324291
394974,12/31/2016,1349.988597
394974,1/31/2017,1355.597176
394974,2/28/2017,1361.891815
394974,3/31/2017,1374.155688
394974,4/30/2017,1383.164943
394974,5/31/2017,1389.205034
394974,6/30/2017,1390.652453
394974,7/31/2017,1390.872137
394974,8/31/2017,1391.362997
394974,9/30/2017,1390.532262
394974,10/31/2017,1389.980984
394974,11/30/2017,1388.359684
394974,12/31/2017,1390.78937
394974,1/31/2018,1394.202556
394974,2/28/2018,1401.967791
394974,3/31/2018,1413.134972
394974,4/30/2018,1423.444055
394974,5/31/2018,1432.738992
394974,6/30/2018,1436.95271
394974,7/31/2018,1437.822664
394974,8/31/2018,1436.789181
394974,9/30/2018,1435.215082
394974,10/31/2018,1436.615955
394974,11/30/2018,1440.204126
394974,12/31/2018,1439.349955
394974,1/31/2019,1443.869133
394974,2/28/2019,1450.653049
394974,3/31/2019,1465.380022
394974,4/30/2019,1476.447109
394974,5/31/2019,1483.706666
394974,6/30/2019,1491.811374
394974,7/31/2019,1496.035373
394974,8/31/2019,1495.879304
394974,9/30/2019,1491.851306
394974,10/31/2019,1490.122315
394974,11/30/2019,1490.970627
394974,12/31/2019,1494.132282
394974,1/31/2020,1497.544583
394974,2/29/2020,1508.130046
394974,3/31/2020,1518.279125
394974,4/30/2020,1521.687306
394974,5/31/2020,1520.934043
394974,6/30/2020,1521.152565
394974,7/31/2020,1527.39124
394974,8/31/2020,1527.276403
394974,9/30/2020,1526.576746
394974,10/31/2020,1526.23456
394974,11/30/2020,1528.876044
394974,12/31/2020,1532.162701
394974,1/31/2021,1535.895432
394974,2/28/2021,1541.657298
394974,3/31/2021,1550.02207
394974,4/30/2021,1565.995596
394974,5/31/2021,1588.414215
394974,6/30/2021,1610.498334
394974,7/31/2021,1630.647195
394974,8/31/2021,1648.713153
394974,9/30/2021,1658.077092
394974,10/31/2021,1668.670178
394974,11/30/2021,1677.156811
394974,12/31/2021,1694.630436
394974,1/31/2022,1704.46655
394974,2/28/2022,1716.196258
394974,3/31/2022,1726.377437
394974,4/30/2022,1741.395437
394974,5/31/2022,1756.332401
394974,6/30/2022,1772.208587
394974,7/31/2022,1785.30985
394974,8/31/2022,1791.693565
394974,9/30/2022,1793.820826
394974,10/31/2022,1789.880498
394974,11/30/2022,1788.320296
394974,12/31/2022,1786.130031
394974,1/31/2023,1789.655004
394974,2/28/2023,1791.585298
394974,3/31/2023,1799.804095
394974,4/30/2023,1807.895521
394974,5/31/2023,1819.799301
394974,6/30/2023,1825.326435
394974,7/31/2023,1833.480123
394974,8/31/2023,1841.672401
394974,9/30/2023,1854.958628
394974,10/31/2023,1862.552743
394974,11/30/2023,1864.746436
394974,12/31/2023,1859.486015
394974,1/31/2024,1857.951754
394974,2/29/2024,1863.201493
