RegionID,Date,Home Value
753899,2/29/2020,693995.3644
753899,3/31/2020,694790.4606
753899,4/30/2020,695791.4
753899,5/31/2020,694816.5346
753899,6/30/2020,691884.3398
753899,7/31/2020,691556.2531
753899,8/31/2020,696787.0873
753899,9/30/2020,708000.6277
753899,10/31/2020,721424.4886
753899,11/30/2020,736290.3449
753899,12/31/2020,750472.868
753899,1/31/2021,760024.4353
753899,2/28/2021,765983.3542
753899,3/31/2021,769295.1067
753899,4/30/2021,776361.9331
753899,5/31/2021,786381.2368
753899,6/30/2021,798762.4599
753899,7/31/2021,810926.6638
753899,8/31/2021,820233.5938
753899,9/30/2021,827446.5617
753899,10/31/2021,834414.7682
753899,11/30/2021,843077.5675
753899,12/31/2021,853486.0161
753899,1/31/2022,865999.031
753899,2/28/2022,880801.9672
753899,3/31/2022,897440.3177
753899,4/30/2022,912532.3914
753899,5/31/2022,924396.3256
753899,6/30/2022,931084.8023
753899,7/31/2022,932982.4467
753899,8/31/2022,929790.3219
753899,9/30/2022,923912.1159
753899,10/31/2022,918446.7967
753899,11/30/2022,914560.2043
753899,12/31/2022,911316.6645
753899,1/31/2023,902707.7653
753899,2/28/2023,891394.5467
753899,3/31/2023,881261.1982
753899,4/30/2023,878794.8038
753899,5/31/2023,882719.8894
753899,6/30/2023,890809.4212
753899,7/31/2023,902438.5296
753899,8/31/2023,916508.7476
753899,9/30/2023,930715.3783
753899,10/31/2023,942535.4146
753899,11/30/2023,951430.6446
753899,12/31/2023,957016.4197
753899,1/31/2024,957175.8425
753899,2/29/2024,954110.3669
753899,3/31/2024,952950.9429
753899,4/30/2024,956553.1306
753899,5/31/2024,962676.7679
753899,6/30/2024,966785.7735
394463,1/31/2015,199328.8897
394463,2/28/2015,199649.0849
394463,3/31/2015,200201.7846
394463,4/30/2015,200743.4053
394463,5/31/2015,201642.0413
394463,6/30/2015,202369.3084
394463,7/31/2015,203186.851
394463,8/31/2015,203880.157
394463,9/30/2015,204699.8528
394463,10/31/2015,205823.1165
394463,11/30/2015,207002.7468
394463,12/31/2015,208217.0805
394463,1/31/2016,209409.5838
394463,2/29/2016,210632.1775
394463,3/31/2016,211446.7289
394463,4/30/2016,212210.9573
394463,5/31/2016,212875.3798
394463,6/30/2016,213676.773
394463,7/31/2016,214112.1795
394463,8/31/2016,214501.7582
394463,9/30/2016,214943.6106
394463,10/31/2016,215753.9097
394463,11/30/2016,216704.4397
394463,12/31/2016,217961.9351
394463,1/31/2017,219262.3543
394463,2/28/2017,220679.274
394463,3/31/2017,222266.9499
394463,4/30/2017,223604.84
394463,5/31/2017,224672.2288
394463,6/30/2017,225052.2593
394463,7/31/2017,225282.2313
394463,8/31/2017,225472.9063
394463,9/30/2017,226171.2232
394463,10/31/2017,227151.2278
394463,11/30/2017,228365.9828
394463,12/31/2017,229652.6975
394463,1/31/2018,231091.3422
394463,2/28/2018,232471.7798
394463,3/31/2018,234066.4266
394463,4/30/2018,235312.7587
394463,5/31/2018,236288.1157
394463,6/30/2018,236396.2352
394463,7/31/2018,236438.0507
394463,8/31/2018,236353.195
394463,9/30/2018,236453.9741
394463,10/31/2018,236598.6249
394463,11/30/2018,236912.9205
394463,12/31/2018,237513.2323
394463,1/31/2019,238418.1346
394463,2/28/2019,239647.4374
394463,3/31/2019,240807.9787
394463,4/30/2019,241737.0277
394463,5/31/2019,242159.1226
394463,6/30/2019,242371.2498
394463,7/31/2019,242186.3776
394463,8/31/2019,241965.786
394463,9/30/2019,241502.7835
394463,10/31/2019,241389.7933
394463,11/30/2019,241591.8384
394463,12/31/2019,242235.3817
394463,1/31/2020,243386.1499
394463,2/29/2020,244756.9688
394463,3/31/2020,246195.2078
394463,4/30/2020,247093.7261
394463,5/31/2020,247189.2854
394463,6/30/2020,246718.0545
394463,7/31/2020,246231.5856
394463,8/31/2020,246565.6101
394463,9/30/2020,248173.0137
394463,10/31/2020,250672.186
394463,11/30/2020,253768.2117
394463,12/31/2020,256847.063
394463,1/31/2021,259906.3924
394463,2/28/2021,263230.4411
394463,3/31/2021,266684.4612
394463,4/30/2021,270000.1137
394463,5/31/2021,273041.2225
394463,6/30/2021,275971.3836
394463,7/31/2021,278417.8069
394463,8/31/2021,279850.3838
394463,9/30/2021,280119.2483
394463,10/31/2021,280267.3414
394463,11/30/2021,280952.3701
394463,12/31/2021,282458.0761
394463,1/31/2022,285133.5742
394463,2/28/2022,289030.8756
394463,3/31/2022,293890.5822
394463,4/30/2022,298592.1659
394463,5/31/2022,301870.7013
394463,6/30/2022,304085.7418
394463,7/31/2022,304623.3509
394463,8/31/2022,303993.6105
394463,9/30/2022,302279.421
394463,10/31/2022,300900.8598
394463,11/30/2022,300112.5644
394463,12/31/2022,299683.3503
394463,1/31/2023,299061.6753
394463,2/28/2023,298904.8391
394463,3/31/2023,299563.8871
394463,4/30/2023,301293.3377
394463,5/31/2023,303533.3897
394463,6/30/2023,306151.4564
394463,7/31/2023,308749.4726
394463,8/31/2023,311257.951
394463,9/30/2023,313127.5972
394463,10/31/2023,314519.594
394463,11/30/2023,315452.4498
394463,12/31/2023,316099.7022
394463,1/31/2024,316772.9415
394463,2/29/2024,318185.6673
394463,3/31/2024,320641.4094
394463,4/30/2024,323564.5939
394463,5/31/2024,325723.0543
394463,6/30/2024,326968.4879
394514,1/31/2015,176728.2423
394514,2/28/2015,178268.5014
394514,3/31/2015,179791.8498
394514,4/30/2015,181192.864
394514,5/31/2015,182659.2432
